system:index,area_km2,band,class,class_name,.geo
0_0_0,7272.114368227103,classification_1985,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,65.95115774963405,classification_1985,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,24.12839341961671,classification_1985,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,8.874700317382813E-4,classification_1985,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,4386.066138759238,classification_1985,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,10557.576488552277,classification_1985,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,25.15907585681153,classification_1985,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,14.55765030804441,classification_1985,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,478.6274763167767,classification_1985,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.13316355407714847,classification_1985,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,115.7625905112805,classification_1985,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,2.6431638312377905,classification_1985,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,105.30679018672903,classification_1985,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,28.48642721844961,classification_1985,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,35.84367872802774,classification_1985,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,7241.105537206251,classification_1986,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,66.33976675445584,classification_1986,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,22.849767408874467,classification_1986,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,8.874700317382813E-4,classification_1986,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,4389.5951758999,classification_1986,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,10587.894596067132,classification_1986,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,23.379736458984397,classification_1986,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,16.83544611370849,classification_1986,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,475.8972267064865,classification_1986,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,0.13316355407714847,classification_1986,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,114.6219121933504,classification_1986,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,3.3699357229614284,classification_1986,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,107.55027090059623,classification_1986,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,27.916055811222908,classification_1986,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,34.867972421264845,classification_1986,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,7284.612858418663,classification_1987,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,69.70177191040075,classification_1987,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,24.19713802508533,classification_1987,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,4377.771654576645,classification_1987,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,10547.166565490379,classification_1987,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,25.560259291992033,classification_1987,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,18.935182339477542,classification_1987,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,480.6580453284346,classification_1987,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,0.13316355407714847,classification_1987,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,117.3985056616711,classification_1987,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,4.119803113891607,classification_1987,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,99.95189688649695,classification_1987,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,26.363046505496445,classification_1987,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,35.78755958636456,classification_1987,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,7346.917331167139,classification_1988,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,67.83205401886,classification_1988,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,24.075270046752806,classification_1988,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,4392.959010828875,classification_1988,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,10455.969428811753,classification_1988,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,26.9475698199462,classification_1988,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,19.285675664245606,classification_1988,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,495.8094227867418,classification_1988,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,0.13316355407714847,classification_1988,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,113.40505063146054,classification_1988,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,4.923091782897961,classification_1988,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,99.96166852244242,classification_1988,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,25.85661827234178,classification_1988,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,38.282094781738685,classification_1988,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,7404.860820716055,classification_1989,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,65.34808978894083,classification_1989,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,23.760636681091125,classification_1989,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,4451.784839949929,classification_1989,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,10330.272754249629,classification_1989,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,26.200154425180855,classification_1989,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,21.216171535156242,classification_1989,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,507.73694699401716,classification_1989,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,0.13316355407714847,classification_1989,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_9,112.55670205358125,classification_1989,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_10,5.235364797546402,classification_1989,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_11,100.1580877376727,classification_1989,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_12,25.4408304500763,classification_1989,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_13,37.652887756347994,classification_1989,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,7396.265466805467,classification_1990,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,66.28634421014432,classification_1990,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,19.95813833843982,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,4449.413656835321,classification_1990,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,10363.434989600622,classification_1990,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,26.032932147043656,classification_1990,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,21.4990609399414,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,506.7550385712876,classification_1990,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,0.13316355407714847,classification_1990,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,111.69504201024513,classification_1990,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,5.304698053710957,classification_1990,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,98.59854167956732,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,25.297790475162014,classification_1990,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,21.682587468322694,classification_1990,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,7256.350775712444,classification_1991,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,65.84431923541283,classification_1991,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,19.931486347839243,classification_1991,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,4441.700219222174,classification_1991,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,10517.655303352296,classification_1991,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,24.025316520812886,classification_1991,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,22.579892897521958,classification_1991,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
